state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,candidate,support
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,Trump,7
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,Clinton,85
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,Other,6
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,Undecided,2
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,Johnson,NA
Washington Dc,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,NA,McMullin,NA
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,Trump,6
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,Clinton,92
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,Other,NA
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,Undecided,3
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,Johnson,NA
Washington Dc,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,NA,McMullin,NA
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,Trump,4
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,Clinton,88
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,Other,7
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,Undecided,1
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,Johnson,NA
Washington Dc,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,NA,McMullin,NA
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,Trump,13
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,Clinton,81
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,Other,NA
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,Undecided,6
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,Johnson,NA
Washington Dc,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,NA,McMullin,NA
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,Trump,5
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,Clinton,88
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,Other,5
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,Undecided,2
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,Johnson,NA
Washington Dc,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,NA,McMullin,NA
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,Trump,67
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,Clinton,28
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,Other,NA
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,Undecided,5
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,Johnson,NA
Wyoming,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,NA,McMullin,NA
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,Trump,62
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,Clinton,22
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,Other,NA
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,Undecided,4
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,Johnson,NA
Wyoming,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,NA,McMullin,NA
Wyoming,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,NA,Trump,65
Wyoming,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,NA,Clinton,30
Wyoming,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,NA,Other,NA
